Entity,Year,Access to electricity (% of population),Source,Value
Afghanistan,2020,97.7,Electricity from fossil fuels (TWh),0.12
Afghanistan,2020,97.7,Electricity from nuclear (TWh),0
Afghanistan,2020,97.7,Electricity from renewables (TWh),0.68
Albania,2020,100,Electricity from fossil fuels (TWh),0
Albania,2020,100,Electricity from nuclear (TWh),0
Albania,2020,100,Electricity from renewables (TWh),5.31
Algeria,2020,99.80413,Electricity from fossil fuels (TWh),72.01
Algeria,2020,99.80413,Electricity from nuclear (TWh),0
Algeria,2020,99.80413,Electricity from renewables (TWh),0.72
Angola,2020,46.89061,Electricity from fossil fuels (TWh),4.49
Angola,2020,46.89061,Electricity from nuclear (TWh),0
Angola,2020,46.89061,Electricity from renewables (TWh),12.1
Antigua and Barbuda,2020,100,Electricity from fossil fuels (TWh),0.31
Antigua and Barbuda,2020,100,Electricity from nuclear (TWh),0
Antigua and Barbuda,2020,100,Electricity from renewables (TWh),0.02
Argentina,2020,100,Electricity from fossil fuels (TWh),91.58
Argentina,2020,100,Electricity from nuclear (TWh),10.06
Argentina,2020,100,Electricity from renewables (TWh),37.05
Armenia,2020,100,Electricity from fossil fuels (TWh),2.98
Armenia,2020,100,Electricity from nuclear (TWh),2.55
Armenia,2020,100,Electricity from renewables (TWh),1.92
Aruba,2020,100,Electricity from fossil fuels (TWh),0.73
Aruba,2020,100,Electricity from nuclear (TWh),0
Aruba,2020,100,Electricity from renewables (TWh),0.15
Australia,2020,100,Electricity from fossil fuels (TWh),186.92
Australia,2020,100,Electricity from nuclear (TWh),0
Australia,2020,100,Electricity from renewables (TWh),63.99
Austria,2020,100,Electricity from fossil fuels (TWh),13.77
Austria,2020,100,Electricity from nuclear (TWh),0
Austria,2020,100,Electricity from renewables (TWh),55.42
Azerbaijan,2020,100,Electricity from fossil fuels (TWh),23.16
Azerbaijan,2020,100,Electricity from nuclear (TWh),0
Azerbaijan,2020,100,Electricity from renewables (TWh),1.22
Bahamas,2020,100,Electricity from fossil fuels (TWh),1.99
Bahamas,2020,100,Electricity from nuclear (TWh),0
Bahamas,2020,100,Electricity from renewables (TWh),0
Bahrain,2020,100,Electricity from fossil fuels (TWh),29.85
Bahrain,2020,100,Electricity from nuclear (TWh),0
Bahrain,2020,100,Electricity from renewables (TWh),0.01
Bangladesh,2020,96.2,Electricity from fossil fuels (TWh),74.41
Bangladesh,2020,96.2,Electricity from nuclear (TWh),0
Bangladesh,2020,96.2,Electricity from renewables (TWh),1.31
Barbados,2020,100,Electricity from fossil fuels (TWh),0.93
Barbados,2020,100,Electricity from nuclear (TWh),0
Barbados,2020,100,Electricity from renewables (TWh),0.07
Belarus,2020,100,Electricity from fossil fuels (TWh),34.59
Belarus,2020,100,Electricity from nuclear (TWh),0.34
Belarus,2020,100,Electricity from renewables (TWh),1.27
Belgium,2020,100,Electricity from fossil fuels (TWh),30
Belgium,2020,100,Electricity from nuclear (TWh),34.43
Belgium,2020,100,Electricity from renewables (TWh),23.46
Belize,2020,97.113335,Electricity from fossil fuels (TWh),0.38
Belize,2020,97.113335,Electricity from nuclear (TWh),0
Belize,2020,97.113335,Electricity from renewables (TWh),0.24
Benin,2020,41.410957,Electricity from fossil fuels (TWh),0.22
Benin,2020,41.410957,Electricity from nuclear (TWh),0
Benin,2020,41.410957,Electricity from renewables (TWh),0.01
